conversion,date,revenue,source,variant
0,2021-08-07,0.0,desktop,B
1,2021-08-05,7.241015253786863,desktop,C
0,2021-08-06,0.0,desktop,A
0,2021-08-05,0.0,desktop,C
0,2021-08-03,0.0,desktop,A
0,2021-08-06,0.0,mobile,B
0,2021-08-04,0.0,mobile,A
0,2021-08-01,0.0,mobile,A
1,2021-08-06,55.958048584975224,desktop,A
0,2021-08-06,0.0,desktop,C
0,2021-08-05,0.0,desktop,A
0,2021-08-05,0.0,desktop,B
0,2021-08-02,0.0,desktop,A
0,2021-08-04,0.0,desktop,C
0,2021-08-07,0.0,desktop,B
0,2021-08-07,0.0,mobile,B
0,2021-08-04,0.0,desktop,A
0,2021-08-01,0.0,mobile,B
0,2021-08-06,0.0,mobile,C
0,2021-08-03,0.0,desktop,B
0,2021-08-04,0.0,desktop,C
0,2021-08-06,0.0,desktop,B
0,2021-08-06,0.0,mobile,C
0,2021-08-02,0.0,desktop,B
0,2021-08-02,0.0,desktop,B
0,2021-08-05,0.0,desktop,B
0,2021-08-04,0.0,desktop,B
0,2021-08-01,0.0,desktop,A
1,2021-08-05,3.753242386674969,desktop,C
0,2021-08-02,0.0,mobile,A
0,2021-08-03,0.0,desktop,B
0,2021-08-03,0.0,mobile,B
0,2021-08-02,0.0,mobile,C
0,2021-08-03,0.0,desktop,B
0,2021-08-04,0.0,desktop,B
0,2021-08-01,0.0,desktop,B
0,2021-08-01,0.0,desktop,A
0,2021-08-05,0.0,desktop,A
0,2021-08-06,0.0,mobile,C
1,2021-08-06,1.6014201626239626,mobile,C
0,2021-08-01,0.0,desktop,A
0,2021-08-01,0.0,desktop,B
0,2021-08-01,0.0,desktop,B
0,2021-08-03,0.0,mobile,A
0,2021-08-05,0.0,desktop,A
0,2021-08-01,0.0,desktop,C
0,2021-08-02,0.0,desktop,A
0,2021-08-07,0.0,desktop,A
0,2021-08-07,0.0,desktop,C
0,2021-08-07,0.0,mobile,B
0,2021-08-02,0.0,desktop,B
0,2021-08-03,0.0,desktop,A
0,2021-08-01,0.0,mobile,C
0,2021-08-03,0.0,desktop,B
0,2021-08-01,0.0,mobile,C
1,2021-08-01,12.487429129963578,mobile,A
0,2021-08-03,0.0,mobile,A
0,2021-08-02,0.0,desktop,B
0,2021-08-02,0.0,desktop,A
1,2021-08-05,9.802343587135674,desktop,A
0,2021-08-05,0.0,desktop,A
0,2021-08-02,0.0,desktop,A
0,2021-08-04,0.0,desktop,A
0,2021-08-05,0.0,desktop,A
0,2021-08-04,0.0,desktop,C
0,2021-08-06,0.0,mobile,A
0,2021-08-04,0.0,mobile,B
0,2021-08-07,0.0,mobile,A
0,2021-08-04,0.0,mobile,C
0,2021-08-03,0.0,mobile,C
0,2021-08-05,0.0,mobile,B
0,2021-08-02,0.0,mobile,A
0,2021-08-06,0.0,mobile,A
0,2021-08-06,0.0,mobile,B
1,2021-08-03,26.338337408397006,mobile,B
0,2021-08-01,0.0,desktop,C
0,2021-08-05,0.0,desktop,A
0,2021-08-02,0.0,mobile,B
0,2021-08-05,0.0,mobile,A
0,2021-08-04,0.0,desktop,B
0,2021-08-06,0.0,desktop,B
0,2021-08-02,0.0,desktop,C
0,2021-08-03,0.0,mobile,C
0,2021-08-04,0.0,desktop,A
0,2021-08-06,0.0,mobile,A
0,2021-08-03,0.0,desktop,C
0,2021-08-01,0.0,desktop,A
0,2021-08-01,0.0,mobile,B
0,2021-08-01,0.0,desktop,B
0,2021-08-03,0.0,desktop,C
0,2021-08-07,0.0,desktop,C
1,2021-08-03,16.847414671169815,desktop,B
0,2021-08-05,0.0,desktop,C
0,2021-08-03,0.0,desktop,B
0,2021-08-01,0.0,desktop,C
0,2021-08-05,0.0,desktop,B
0,2021-08-04,0.0,desktop,A
0,2021-08-04,0.0,desktop,A
0,2021-08-05,0.0,desktop,B
0,2021-08-07,0.0,mobile,A
1,2021-08-06,34.47015378421866,desktop,A
0,2021-08-05,0.0,desktop,A
0,2021-08-04,0.0,desktop,B
0,2021-08-07,0.0,mobile,C
0,2021-08-03,0.0,mobile,B
0,2021-08-03,0.0,desktop,A
0,2021-08-05,0.0,desktop,A
0,2021-08-02,0.0,mobile,A
0,2021-08-03,0.0,desktop,C
0,2021-08-04,0.0,desktop,C
0,2021-08-01,0.0,desktop,A
0,2021-08-07,0.0,mobile,B
0,2021-08-07,0.0,desktop,B
0,2021-08-03,0.0,desktop,B
0,2021-08-04,0.0,desktop,B
0,2021-08-02,0.0,mobile,A
0,2021-08-02,0.0,desktop,A
0,2021-08-02,0.0,desktop,B
0,2021-08-05,0.0,desktop,C
0,2021-08-02,0.0,desktop,A
0,2021-08-03,0.0,mobile,B
0,2021-08-01,0.0,mobile,A
0,2021-08-02,0.0,mobile,B
0,2021-08-01,0.0,desktop,A
0,2021-08-02,0.0,desktop,A
0,2021-08-02,0.0,desktop,B
0,2021-08-06,0.0,mobile,A
0,2021-08-06,0.0,desktop,B
0,2021-08-07,0.0,desktop,A
0,2021-08-03,0.0,desktop,A
0,2021-08-02,0.0,desktop,A
0,2021-08-03,0.0,mobile,C
0,2021-08-03,0.0,desktop,B
0,2021-08-02,0.0,desktop,A
0,2021-08-01,0.0,desktop,C
0,2021-08-07,0.0,desktop,C
0,2021-08-01,0.0,desktop,A
0,2021-08-06,0.0,desktop,A
0,2021-08-04,0.0,desktop,A
0,2021-08-02,0.0,mobile,B
0,2021-08-03,0.0,desktop,B
0,2021-08-07,0.0,desktop,C
0,2021-08-05,0.0,desktop,B
0,2021-08-05,0.0,desktop,B
0,2021-08-07,0.0,desktop,A
0,2021-08-03,0.0,desktop,A
0,2021-08-05,0.0,mobile,C
0,2021-08-03,0.0,mobile,B
0,2021-08-01,0.0,mobile,B
0,2021-08-03,0.0,desktop,B
0,2021-08-07,0.0,desktop,A
0,2021-08-02,0.0,desktop,B
0,2021-08-03,0.0,mobile,B
0,2021-08-07,0.0,mobile,B
0,2021-08-04,0.0,desktop,B
0,2021-08-06,0.0,desktop,B
0,2021-08-07,0.0,desktop,C
0,2021-08-06,0.0,desktop,A
0,2021-08-01,0.0,desktop,C
0,2021-08-02,0.0,mobile,C
0,2021-08-06,0.0,mobile,A
0,2021-08-06,0.0,desktop,A
0,2021-08-01,0.0,mobile,C
0,2021-08-07,0.0,mobile,B
0,2021-08-05,0.0,mobile,A
0,2021-08-04,0.0,mobile,B
0,2021-08-02,0.0,mobile,B
0,2021-08-07,0.0,desktop,A
0,2021-08-06,0.0,desktop,A
0,2021-08-06,0.0,desktop,C
0,2021-08-03,0.0,desktop,C
0,2021-08-07,0.0,mobile,C
0,2021-08-07,0.0,mobile,C
0,2021-08-05,0.0,desktop,C
0,2021-08-01,0.0,mobile,B
0,2021-08-03,0.0,desktop,C
0,2021-08-04,0.0,desktop,A
0,2021-08-04,0.0,desktop,B
0,2021-08-05,0.0,mobile,C
0,2021-08-07,0.0,desktop,A
0,2021-08-01,0.0,desktop,C
0,2021-08-02,0.0,mobile,A
0,2021-08-03,0.0,mobile,A
0,2021-08-07,0.0,mobile,C
0,2021-08-06,0.0,desktop,A
0,2021-08-06,0.0,desktop,B
0,2021-08-05,0.0,mobile,C
0,2021-08-06,0.0,mobile,C
0,2021-08-06,0.0,desktop,A
0,2021-08-01,0.0,mobile,B
1,2021-08-06,9.662337340274714,mobile,A
0,2021-08-05,0.0,desktop,B
0,2021-08-04,0.0,desktop,B
0,2021-08-07,0.0,desktop,A
0,2021-08-04,0.0,desktop,A
0,2021-08-06,0.0,desktop,A
0,2021-08-04,0.0,desktop,A
0,2021-08-04,0.0,desktop,A
0,2021-08-02,0.0,mobile,B
0,2021-08-05,0.0,mobile,B
0,2021-08-07,0.0,desktop,A
0,2021-08-06,0.0,desktop,C
0,2021-08-02,0.0,desktop,A
0,2021-08-02,0.0,desktop,A
0,2021-08-01,0.0,mobile,A
0,2021-08-07,0.0,desktop,A
0,2021-08-06,0.0,desktop,C
0,2021-08-05,0.0,desktop,B
0,2021-08-05,0.0,desktop,C
0,2021-08-07,0.0,mobile,C
0,2021-08-05,0.0,mobile,B
0,2021-08-03,0.0,desktop,B
0,2021-08-04,0.0,mobile,B
